idx,content_name,content_type,content_owner,content_year,content_path,copyright_notice
10,$60m collection of rare cars and sneakers going on auction.txt,news,BBC,2024,data/news/BBC/$60m collection of rare cars and sneakers going on auction.txt,Copyright 2024 BBC. All rights reserved.
11,"Boeing must show 'systemic change' after latest crisis, says regulator.txt",news,BBC,2024,"data/news/BBC/Boeing must show 'systemic change' after latest crisis, says regulator.txt",Copyright 2024 BBC. All rights reserved.
12,Prostate cancer hopes raised after at-home spit test trials.txt,news,BBC,2024,data/news/BBC/Prostate cancer hopes raised after at-home spit test trials.txt,Copyright 2024 BBC. All rights reserved.
13,Turkey's new Mesopotamia Express takes visitors through the country's rich history.txt,news,BBC,2024,data/news/BBC/Turkey's new Mesopotamia Express takes visitors through the country's rich history.txt,Copyright 2024 BBC. All rights reserved.
14,"Wordle locked in legal row with geography spinoff, Worldle.txt",news,BBC,2024,"data/news/BBC/Wordle locked in legal row with geography spinoff, Worldle.txt",Copyright 2024 BBC. All rights reserved.
15,Bruhat Soma Electric Tiebreaking Performance Earns Spelling Bee Championship - The New York Times.txt,news,NYT,2024,data/news/NYT/Bruhat Soma Electric Tiebreaking Performance Earns Spelling Bee Championship - The New York Times.txt,© 2024 The New York Times Company
16,Fox News and MSNBC Notch Rating Wins After Trump Verdict - The New York Times.txt,news,NYT,2024,data/news/NYT/Fox News and MSNBC Notch Rating Wins After Trump Verdict - The New York Times.txt,© 2024 The New York Times Company
17,Google A.I. Search Leaves Publishers Scrambling - The New York Times.txt,news,NYT,2024,data/news/NYT/Google A.I. Search Leaves Publishers Scrambling - The New York Times.txt,© 2024 The New York Times Company
18,Minnesota Democrats Call on State Senator Charged With Burglary to Resign - The New York Times.txt,news,NYT,2024,data/news/NYT/Minnesota Democrats Call on State Senator Charged With Burglary to Resign - The New York Times.txt,© 2024 The New York Times Company
19,The Only Ice Cream Recipe You'll Ever Need - The New York Times.txt,news,NYT,2024,data/news/NYT/The Only Ice Cream Recipe You'll Ever Need - The New York Times.txt,© 2024 The New York Times Company
20,"Cleaner shipping fuel is contributing to ocean warming, scientists say _ Reuters.txt",news,Reuters,2024,"data/news/Reuters/Cleaner shipping fuel is contributing to ocean warming, scientists say _ Reuters.txt",© 2024 Reuters. All rights reserved
21,House Dems urge NLRB probe of Google's alleged union busting _ Reuters.txt,news,Reuters,2024,data/news/Reuters/House Dems urge NLRB probe of Google's alleged union busting _ Reuters.txt,© 2024 Reuters. All rights reserved
22,PwC to become OpenAI's largest enterprise customer amid genAI boom _ Reuters.txt,news,Reuters,2024,data/news/Reuters/PwC to become OpenAI's largest enterprise customer amid genAI boom _ Reuters.txt,© 2024 Reuters. All rights reserved
23,Robots play soccer at Geneva AI showcase _ Reuters.txt,news,Reuters,2024,data/news/Reuters/Robots play soccer at Geneva AI showcase _ Reuters.txt,© 2024 Reuters. All rights reserved
24,"Wegovy maker Novo Nordisk sues nine spas, clinics and pharmacies over copycat drugs _ Reuters.txt",news,Reuters,2024,"data/news/Reuters/Wegovy maker Novo Nordisk sues nine spas, clinics and pharmacies over copycat drugs _ Reuters.txt",© 2024 Reuters. All rights reserved
25,amp_examples.rst.txt,doc,,old,data/doc/amp_examples.rst.txt,"© Copyright 2023, PyTorch Contributors.
"
26,BERT.txt,doc,,old,data/doc/BERT.txt,Copyright 2018- The Hugging Face team. All rights reserved.
27,functional_api_tf.txt,doc,,old,data/doc/functional_api_tf.txt,"Except as otherwise noted, the content of this page is licensed under the Creative Commons Attribution 4.0 License, and code samples are licensed under the Apache 2.0 License. For details, see the Google Developers Site Policies. Java is a registered trademark of Oracle and/or its affiliates.
"
28,pandas.read_json — pandas 2.2.2 documentation.txt,doc,,old,data/doc/pandas.read_json — pandas 2.2.2 documentation.txt,"© 2024, pandas via NumFOCUS, Inc. Hosted by OVHcloud."
29,The N-dimensional array (ndarray) — NumPy v1.26 Manual.txt,doc,,old,data/doc/The N-dimensional array (ndarray) — NumPy v1.26 Manual.txt,© Copyright 2008-2022 NumPy. All rights reserved.
30,3 10 to Yuma_0381849.txt,scripts,,old,data/scripts/3 10 to Yuma_0381849.txt,Tree Line Film Copyright 2006
31,About Time_2194499.txt,scripts,,old,data/scripts/About Time_2194499.txt,© 2012 Working Title Films Limited. All Rights Reserved.
32,Being Human_0106379.txt,scripts,,old,data/scripts/Being Human_0106379.txt,© 1992 WARNER BROS. INC. All Rights Reserved
33,Big Trouble in Little China_0090728.txt,scripts,,old,data/scripts/Big Trouble in Little China_0090728.txt,"Copyright © 1995
 Registered WGA,w
 All Rights Reserved"
34,Black Hawk Down_0265086.txt,scripts,,old,data/scripts/Black Hawk Down_0265086.txt,"Copyright © 2002
 by Revolution Studios"
35,Body Bags_0106449.txt,scripts,,old,data/scripts/Body Bags_0106449.txt,Copyright ©2001 David Ghesmete
36,Ender s Game_1731141.txt,scripts,,old,data/scripts/Ender s Game_1731141.txt,Copyright © 1999 by Orson Scott Card All rights reserved
37,Enough Said_2390361.txt,scripts,,old,data/scripts/Enough Said_2390361.txt,"© 2012 WILLOW AND OAK, INC. ALL RIGHTS RESERVED. NO PORTION OF THIS SCRIPT MAY BE
 PERFORMED, PUBLISHED, REPRODUCED, SOLD OR DISTRIBUTED BY ANY MEANS, OR QUOTED OR
 PUBLISHED IN ANY MEDIUM, INCLUDING ANY WEB SITE, WITHOUT THE PRIOR WRITTEN CONSENT
 OF WILLOW AND OAK, INC. DISPOSAL OF THIS SCRIPT COPY DOES NOT ALTER ANY OF THE
 RESTRICTIONS SET FORTH ABOVE."
38,Finding Nemo_0266543.txt,scripts,,old,data/scripts/Finding Nemo_0266543.txt,"Copyright 2003 Walt Disney Pictures, Pixar Animation Studios"
39,Gone Girl_2267998.txt,scripts,,old,data/scripts/Gone Girl_2267998.txt,"ALL RIGHTS RESERVED. COPYRIGHT ©2014 TWENTIETH CENTURY FOX FILM
 CORPORATION. NO PORTION OF THIS SCRIPT MAY BE PERFORMED, PUBLISHED,
 REPRODUCED, SOLD OR DISTRIBUTED BY ANY MEANS, OR QUOTED OR PUBLISHED
 IN ANY MEDIUM, INCLUDING ON ANY WEB SITE, WITHOUT THE PRIOR WRITTEN
 CONSENT OF TWENTIETH CENTURY FOX FILM CORPORATION. DISPOSAL OF THIS
 SCRIPT COPY DOES NOT ALTER ANY OF THE RESTRICTIONS SET FORTH ABOVE."
